section,case,entity,entity_id,sub_id,period,parameter,value,unit,source,notes
Metadata,Common,Study,IEEE118_DC_OPF,,,network_case,Modified IEEE 118-bus,,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,Standard IEEE 118-bus topology with synthetic thermal-limit settings for the stress test.
Metadata,Common,Study,IEEE118_DC_OPF,,,system_base,100.0,MVA,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
Metadata,Common,Study,IEEE118_DC_OPF,,,num_periods,6,periods,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
Metadata,Common,Study,IEEE118_DC_OPF,,,period_length,10,minutes,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
Metadata,Common,Study,IEEE118_DC_OPF,,,horizon_length,1,hour,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
Metadata,Common,Study,IEEE118_DC_OPF,,,solver,Ipopt,,paper reported results,
Metadata,Common,Study,IEEE118_DC_OPF,,,modeling_environment,Julia/JuMP,,paper reported results,
Metadata,Common,Study,IEEE118_DC_OPF,,,reporting_near_congestion_threshold,95,%,paper reported results,Reporting threshold only; distinct from the 90% congestion-margin penalty threshold.
Metadata,Common,Study,IEEE118_DC_OPF,,,hard_branch_limit_threshold,100,%,paper reported results,
Metadata,Common,Study,IEEE118_DC_OPF,,,nominal_workload_to_power_estimate,0.12,MW/workload,paper reported results,Benchmark-based nominal estimate; canonical numerical study data use 0.14 MW/workload.
CaseDefinition,NoFlex,Case,NoFlex,,,spatial_migration_enabled,False,,paper reported results,
CaseDefinition,NoFlex,Case,NoFlex,,,temporal_shifting_enabled,False,,paper reported results,
CaseDefinition,NoFlex,Case,NoFlex,,,carry_out_enabled,False,,paper reported results,
CaseDefinition,NoFlex,Case,NoFlex,,,processing_rule,Process each shiftable workload at its original data center and arrival period,,paper reported results,
CaseDefinition,WithFlex,Case,WithFlex,,,spatial_migration_enabled,True,,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
CaseDefinition,WithFlex,Case,WithFlex,,,temporal_shifting_enabled,True,,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
CaseDefinition,WithFlex,Case,WithFlex,,,carry_out_enabled,True,,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
CaseDefinition,WithFlex,Case,WithFlex,,,max_delay,3,10-minute periods,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
Generator,Common,Generator,G1,10,,bus,10,bus,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
Generator,Common,Generator,G1,10,,P_min,0,MW,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
Generator,Common,Generator,G1,10,,P_max,280,MW,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
Generator,Common,Generator,G1,10,,Q_min,-150,MVar,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
Generator,Common,Generator,G1,10,,Q_max,150,MVar,study_data_D1_case2_congestion_withflex_v2_congpenalty(1).jl,
